,Vienna,Brussels,Paris,Thessaloniki,Oslo,London,Hong Kong,Tokyo,Detroit,Las Vegas,Los Angeles,Miami,Minneapolis,New York,Phoenix,Portland,San Diego,San Francisco,Seattle,Tampa
2014-03-31,204.6,148,8140,62.33,87.0,361000,243.7,99.5,96.63980763,132.5235822,220.14848140000004,182.32981619999998,141.35340569999997,173.4911761,145.95468449999998,165.19091980000002,200.8985735,189.7869254,164.4639317,156.17991719999998
2014-06-30,207.3,155,8130,61.18,90.9,387000,250.3,97.4,96.41746549,134.4234969,221.43572180000004,185.4618196,139.8319069,174.1743581,146.2128889,166.9345994,201.30934169999998,192.002805,166.4288168,159.996646
2014-09-30,202.2,165,8100,59.51,92.2,404000,266.3,98.5,96.28182997,135.9814226,222.77651659999998,188.53779680000002,139.5629268,174.8271637,146.61984990000002,168.64385959999998,201.6411981,193.4941324,168.7429549,161.5958177
2014-12-31,204.4,161,7950,58.91,92.5,403000,278.3,96.2,97.49049554,137.8404748,227.99867830000002,192.921889,141.1055367,175.5668322,148.18553980000002,172.322706,205.3963205,199.9163924,172.63082350000002,165.5505716
2015-03-31,206.8,163,7910,59.43,97.4,405000,291.5,101.6,100.3843045,139.9474529,231.67061969999997,197.7509986,144.6245926,176.7972418,150.3334251,176.2231565,209.6123608,208.5940937,176.1292187,168.20303140000001
2015-06-30,208.7,159,7890,58.07,100.0,419000,301.3,101.6,101.54212629999999,142.3865994,235.0746136,199.7250253,144.46068390000002,178.65708940000002,152.3279494,179.94290959999998,210.22767819999996,210.697904,178.4333648,168.9391422
2015-09-30,209.0,158,8010,56.04,101.6,440000,305.9,103.8,101.76023070000001,143.8775294,237.28845640000003,203.11748290000003,145.196952,179.31062980000002,154.3300105,185.909695,215.150654,215.5897985,183.02624939999998,172.313413
2015-12-31,212.3,161,7990,55.53,101.0,450000,285.0,105.3,104.11972809999999,145.954826,241.6340575,206.55501189999998,147.8266743,180.4933977,157.4196408,192.035233,220.0050403,220.48318799999998,189.6825739,176.6717229
2016-03-31,220.3,155,8010,55.93,106.5,465000,271.2,106.2,105.91434050000001,148.28059430000002,245.8928915,209.65853330000002,149.6815255,181.45553700000002,158.601446,197.5251371,222.0402335,225.41641620000001,194.6548746,180.24089740000002
2016-06-30,215.0,160,8130,55.2,112.7,468000,276.4,105.7,106.57773329999999,150.5623431,247.5802982,213.6566918,151.5817388,182.79274519999998,160.161017,202.5068647,223.9782068,224.7877787,197.89928469999998,182.4959259
2016-09-30,214.2,164,8300,54.81,119.9,472000,296.2,107.2,108.45310970000001,152.0163146,251.4706227,216.6660995,153.2691835,183.7167578,162.4980768,206.3504145,226.84908560000002,228.2497599,203.62352769999998,185.50868730000002
2016-12-31,219.4,166,8330,55.07,122.9,472000,307.4,107.6,110.5520159,154.3520124,254.5205895,220.59415669999998,156.0101653,185.8169252,164.863908,211.23048119999999,231.87118900000002,233.65591969999997,210.35453399999997,191.2487741
2017-03-31,220.0,163,8460,54.49,128.9,475000,321.2,108.2,113.2760169,157.84365019999998,258.4328094,221.7681983,159.4821711,188.91889030000002,167.2707503,215.3285861,235.87519939999999,236.00058080000002,218.1552812,192.1234339
2017-06-30,220.1,163,8680,54.57,127.4,480000,336.1,110.9,114.7850162,161.5020371,261.38653419999997,224.27973730000002,160.38849419999997,190.0286365,169.4541945,218.843679,239.82172169999998,239.05043619999998,224.16641719999998,195.4636918
2017-09-30,221.6,165,8940,54.08,122.2,484000,340.8,108.3,116.06153159999998,165.7927561,267.1498022,227.3853557,161.9567011,193.2974643,172.3463273,221.60490049999999,245.51484930000004,244.8006304,230.245858,199.0255167
2017-12-31,220.1,166,9050,54.75,119.2,477000,352.7,104.5,118.32593100000001,171.49095400000002,273.10806099999996,228.4327256,164.4190429,195.93651530000002,174.003479,225.4491454,249.08230240000003,255.14791830000001,237.3600693,203.041345
2018-03-31,227.7,177,9090,54.6,122.6,472000,370.0,109.6,121.8415871,177.1945064,278.8278118,232.68292180000003,168.8993024,198.3385066,178.5246122,229.54170750000003,253.76416569999998,261.99846759999997,246.0659358,206.340825
2018-06-30,229.4,163,9310,54.85,127.9,480000,391.1,110.8,121.96863529999999,182.50819330000002,280.70874449999997,235.9212187,170.3349887,197.9829813,181.7169856,231.3629993,256.0957685,264.7574114,252.63325069999996,209.07110469999998
2018-09-30,236.1,174,9500,54.79,127.1,477000,389.4,105.3,123.3244122,188.1421217,282.004627,237.771088,171.7394768,199.14932050000002,184.6333699,232.9819244,255.1477077,269.0390868,249.71315609999996,212.43032409999998
2018-12-31,234.8,173,9570,56.1,124.5,473000,359.4,107.3,124.488202,190.9671695,283.146635,240.1795374,173.5596227,201.4146018,187.6890216,234.3001452,254.6280298,263.7928679,249.5444225,213.6480307
2019-03-31,240.3,179,9690,58.16,128.3,464000,378.7,108.5,125.74586359999999,191.6502655,282.40196549999996,242.6505347,175.06952009999998,201.4539711,189.35423930000002,235.25751180000003,256.6997205,264.64065619999997,249.9287962,217.1111401
2019-06-30,245.4,173,9890,59.12,131.3,471000,393.7,107.8,127.12166699999999,192.4607196,284.73200160000005,242.51843829999999,176.7324695,200.73687080000002,192.21885369999998,236.7794357,259.4139699,266.6948339,249.21355219999998,218.9660245
